,safetyId,raceId,grand_prix,cause,deployed_lap,called_in_lap,number_full_laps,year
40,41,1046,Sakhir Grand Prix,Accident,62,68,5,2020
41,42,1043,Emilia Romagna Grand Prix,Accident,51,57,5,2020
42,43,1041,Eifel Grand Prix,Stranded car,45,49,3,2020
43,44,1040,Russian Grand Prix,Two accidents,1,5,3,2020
44,45,1020,German Grand Prix,Accident,57,59,1,2019
45,46,1011,Bahrain Grand Prix,Two stranded cars,55,NA (Race finished behind SC),2,2019
46,47,1014,Spanish Grand Prix,Accident,46,52,5,2019
47,48,1015,Monaco Grand Prix,Debris from accident,11,14,2,2019
48,49,1019,British Grand Prix,Accident,20,23,2,2019
49,50,1020,German Grand Prix,Accident,3,4,0,2019
50,51,1020,German Grand Prix,Accident,29,33,3,2019
51,52,1020,German Grand Prix,Accident,41,45,3,2019
52,53,1024,Singapore Grand Prix,Debris from accident,36,40,3,2019
53,54,1022,Belgian Grand Prix,Accident,1,4,2,2019
54,55,1024,Singapore Grand Prix,Stranded car,44,47,2,2019
55,56,1024,Singapore Grand Prix,Accident,50,51,0,2019
56,57,1025,Russian Grand Prix,Accident,1,3,1,2019
57,58,1025,Russian Grand Prix,Accident,29,32,2,2019
58,59,1029,Brazilian Grand Prix,Stranded car,54,59,4,2019
59,60,1029,Brazilian Grand Prix,Accident,66,69,2,2019
60,61,998,British Grand Prix,Accident,33,37,3,2018
61,62,991,Chinese Grand Prix,Debris from accident,31,35,3,2018
62,63,992,Azerbaijan Grand Prix,Two accidents,1,4,2,2018
63,64,992,Azerbaijan Grand Prix,Two accidents,40,47,6,2018
64,65,993,Spanish Grand Prix,Accident,1,6,4,2018
65,66,995,Canadian Grand Prix,Accident,1,4,2,2018
66,67,996,French Grand Prix,Accident,1,5,3,2018
67,68,989,Australian Grand Prix,Stranded car,28,31,2,2018
68,69,998,British Grand Prix,Accident,39,41,1,2018
69,70,1001,Belgian Grand Prix,Accident,1,4,2,2018
70,71,1002,Italian Grand Prix,Accident,1,3,1,2018
71,72,1003,Singapore Grand Prix,Accident,1,4,2,2018
72,73,1005,Japanese Grand Prix,Debris from accident,4,7,2,2018
73,74,1009,Abu Dhabi Grand Prix,Accident,1,4,2,2018
74,75,999,German Grand Prix,Accident,52,57,4,2018
75,76,978,British Grand Prix,Accident,2,4,1,2017
