Driver,Nationality,Team,Points,driverRef,Year
Felipe Massa,BRA,WILLIAMS MERCEDES,12.0,massa,2014
Kimi Räikkönen,FIN,FERRARI,11.0,raikkonen,2014
Jean-Eric Vergne,FRA,STR RENAULT,4.0,vergne,2014
Daniil Kvyat,RUS,STR RENAULT,4.0,kvyat,2014
Romain Grosjean,FRA,LOTUS RENAULT,0.0,grosjean,2014
Pastor Maldonado,VEN,LOTUS RENAULT,0.0,maldonado,2014
Jules Bianchi,FRA,MARUSSIA FERRARI,0.0,jules_bianchi,2014
Adrian Sutil,GER,SAUBER FERRARI,0.0,sutil,2014
Marcus Ericsson,SWE,CATERHAM RENAULT,0.0,ericsson,2014
Esteban Gutierrez,MEX,SAUBER FERRARI,0.0,gutierrez,2014
Max Chilton,GBR,MARUSSIA FERRARI,0.0,chilton,2014
Kamui Kobayashi,JPN,CATERHAM RENAULT,0.0,kobayashi,2014
Will Stevens,GBR,CATERHAM RENAULT,0.0,stevens,2014
Sebastian Vettel,GER,RED BULL RACING RENAULT,77.0,vettel,2013
Kimi Räikkönen,FIN,LOTUS RENAULT,67.0,raikkonen,2013
Lewis Hamilton,GBR,MERCEDES,50.0,hamilton,2013
Fernando Alonso,ESP,FERRARI,47.0,alonso,2013
Mark Webber,AUS,RED BULL RACING RENAULT,32.0,webber,2013
Felipe Massa,BRA,FERRARI,30.0,massa,2013
Romain Grosjean,FRA,LOTUS RENAULT,26.0,grosjean,2013
Paul di Resta,GBR,FORCE INDIA MERCEDES,20.0,resta,2013
Nico Rosberg,GER,MERCEDES,14.0,rosberg,2013
Jenson Button,GBR,MCLAREN MERCEDES,13.0,button,2013
Sergio Perez,MEX,MCLAREN MERCEDES,10.0,perez,2013
Adrian Sutil,GER,FORCE INDIA MERCEDES,6.0,sutil,2013
Daniel Ricciardo,AUS,STR FERRARI,6.0,ricciardo,2013
Nico Hulkenberg,GER,SAUBER FERRARI,5.0,hulkenberg,2013
Jean-Eric Vergne,FRA,STR FERRARI,1.0,vergne,2013
Esteban Gutierrez,MEX,SAUBER FERRARI,0.0,gutierrez,2013
Valtteri Bottas,FIN,WILLIAMS RENAULT,0.0,bottas,2013
Pastor Maldonado,VEN,WILLIAMS RENAULT,0.0,maldonado,2013
Jules Bianchi,FRA,MARUSSIA COSWORTH,0.0,jules_bianchi,2013
Charles Pic,FRA,CATERHAM RENAULT,0.0,pic,2013
Heikki Kovalainen,FIN,LOTUS RENAULT,0.0,kovalainen,2013
Giedo van der Garde,NED,CATERHAM RENAULT,0.0,garde,2013
