Grand Prix,Cause,Deployed (lap),Called in (lap),Number of full laps,Year
Hungarian Grand Prix,Accident,23,28,4,2014
Singapore Grand Prix,Debris from accident,31,37,5,2014
Japanese Grand Prix,Rain,1 (Race started behind SC),3 (After red flag),2,2014
Japanese Grand Prix,Rain,3 (Race resumed behind SC),9,6,2014
Japanese Grand Prix,Accident,44,NA (Red flag),4,2014
United States Grand Prix,Accident,1,5,3,2014
Monaco Grand Prix,Accident,31,38,6,2013
Monaco Grand Prix,Accident,47 (Resumed behind SC),47,0,2013
Monaco Grand Prix,Accident,63,67,3,2013
British Grand Prix,Debris from car,16,21,4,2013
British Grand Prix,Stranded car,42,45,2,2013
German Grand Prix,Stranded car,24,29,4,2013
Singapore Grand Prix,Accident,25,30,4,2013
Korean Grand Prix,Debris,31,36,4,2013
Korean Grand Prix,Vehicle on track,38,40,1,2013
United States Grand Prix,Accident,1,5,3,2013
Singapore Grand Prix,Accident,33,38,4,2012
Brazilian Grand Prix,Accident,70,NA (Race finished behind SC),1,2012
Brazilian Grand Prix,Debris,23,29,5,2012
Abu Dhabi Grand Prix,Accident,39,42,2,2012
Abu Dhabi Grand Prix,Accident,9,14,4,2012
Japanese Grand Prix,Accident,1,2,0,2012
Singapore Grand Prix,Accident,40,42,1,2012
Belgian Grand Prix,Accident,1,5,3,2012
Monaco Grand Prix,Accident,2,3,0,2012
Malaysian Grand Prix,Rain,10 (Race resumed behind SC),15,5,2012
Malaysian Grand Prix,Rain,6,10 (After red flag),4,2012
Australian Grand Prix,Stranded car,37,42,4,2012
European Grand Prix,Debris from accident,28,33,4,2012
Canadian Grand Prix,Rain,20,26 (After red flag),6,2011
Canadian Grand Prix,Accident,37,40,2,2011
Monaco Grand Prix,Accident,35,39,3,2011
Canadian Grand Prix,Rain,1 (Race started behind SC),6,5,2011
Canadian Grand Prix,Accident,8,13,4,2011
Canadian Grand Prix,Rain,26 (Race resumed behind SC),34,8,2011
Canadian Grand Prix,Debris from accident,56,61,4,2011
Belgian Grand Prix,Accident,13,17,3,2011
Italian Grand Prix,Accident,1,4,3,2011
Singapore Grand Prix,Accident,30,34,3,2011
Japanese Grand Prix,Debris from accident,24,28,3,2011
Korean Grand Prix,Accident,17,21,3,2011
Monaco Grand Prix,Accident,31,34,2,2010
British Grand Prix,Debris from car,28,31,2,2010
European Grand Prix,Accident,10,15,4,2010
Monaco Grand Prix,Accident,75,NA (Race finished behind SC),3,2010
Monaco Grand Prix,Loose drain cover,43,46,2,2010
Chinese Grand Prix,Accident,1,4,2,2010
Monaco Grand Prix,Accident,1,7,5,2010
Chinese Grand Prix,Debris from accident,22,26,3,2010
Australian Grand Prix,Accident,2,5,2,2010
Belgian Grand Prix,Accident,2,4,1,2010
Hungarian Grand Prix,Debris from car,15,18,2,2010
Korean Grand Prix,Rain,4 (Race resumed behind SC),18,14,2010
Belgian Grand Prix,Accident,38,41,2,2010
Singapore Grand Prix,Accident,3,6,2,2010
